類型代號	公司代號	公司名稱	受益憑證代號	基金統編	基金名稱	幣別	淨值	前一日淨值	漲跌
AA1	A0007	瀚亞投信	T0705Y	92012572	瀚亞外銷基金	TWD	31.9	31.69	0.21
AA1	A0007	瀚亞投信	T0708Y	97990696	瀚亞菁華基金	TWD	17.61	17.46	0.15
AE23	A0007	瀚亞投信	T0722Y	99967806A	瀚亞股債入息組合基金A類型	TWD	13.486	13.5334	-0.0474
AE23	A0007	瀚亞投信	T0722B	99967806B	瀚亞股債入息組合基金B類型	TWD	13.0613	13.1401	-0.0788
AA1	A0008	保德信投信	T0802Y	01032183	保德信高成長基金	TWD	77.68	77.24	0.44
AA2	A0008	保德信投信	T0828Y	10307155	保德信全球消費商機基金	TWD	16.63	16.86	-0.23
AA1	A0008	保德信投信	T0815Y	13528977	保德信台商全方位基金	TWD	27.98	27.75	0.23
AA2	A0008	保德信投信	T0816Y	14692638A	保德信全球醫療生化基金-新臺幣	TWD	35.02	35.51	-0.49
AA2	A0008	保德信投信	T0816B	14692638B	保德信全球醫療生化基金-美元	USD	10.3	10.43	-0.13
AA1	A0008	保德信投信	T0812Y	17602625	保德信新世紀基金	TWD	9.34	9.25	0.09
AB1	A0008	保德信投信	T0814Y	18044064	保德信金平衡基金	TWD	23.98	23.86	0.12
AC12	A0008	保德信投信	T0811Y	20089122	保德信瑞騰基金	TWD	15.2458	15.2484	-0.0026
AA1	A0008	保德信投信	T0807Y	20097447	保德信第一基金	TWD	22.95	22.8	0.15
AA2	A0008	保德信投信	T0829Y	25618488	保德信全球優質股息成長基金	TWD	12.9	13.12	-0.22
AA2	A0008	保德信投信	T0830Y	25674811	保德信拉丁美洲基金	TWD	6.58	6.75	-0.17
AC21	A0008	保德信投信	T0831A	26263055A	保德信新興市場債券基金-累積型(A)	TWD	9.4693	9.556	-0.0867
