name,code
德盛安聯全球債券基金-B類型(月配息),98669250B
第一金大中華基金,15739619
統一大龍騰中國基金,38592911
貝萊德新台幣基金,17141530
宏利新興市場高收益債券基金-A類型(美元),26258187H
宏利臺灣高股息基金,73982057
柏瑞新興市場企業策略債券基金-B類型,31827266B
瀚亞全球高收益債券基金B-澳幣,26257384G
摩根新興雙利平衡基金累積型,42299565A
瀚亞新興豐收基金A-澳幣,42266017E
聯博收益傘型基金之聯博債券收益組合基金-AA類型(美金),38522107D
新光澳幣保本基金,31936927
元大寶來泛歐成長基金,48753324
瀚亞新興豐收基金B-人民幣,42266017J
華南永昌鳳翔貨幣市場基金,97971760
富蘭克林華美中國傘型基金之中國A股基金,38547424
元大寶來印度基金,25622390
德銀遠東DWS亞洲高收益債券基金美元級別-累積型,26300262C
惠理康和ETF入息組合基金D-美元,38533012D
復華全球債券組合基金,48782931
聯博收益傘型基金之聯博多元資產收益組合基金-A2類型(人民幣),38522113C
國泰中國新興戰略基金,31821137
元大寶來華夏中小基金,26206323
瀚亞全球高收益債券基金B-人民幣,26257384I
新光兩岸優勢基金,25683760
元大寶來多福基金,01032058
富達卓越領航全球組合基金,99992354
合庫新興多重收益基金A類型,31972676A
德信數位時代基金,18033138
元大寶來精準中小基金,14542287
野村新興傘型基金之大俄羅斯基金,10306992
瀚亞亞太高股息基金B-人民幣,48733897F
野村全球高股息基金季配型新臺幣計價,94988015B
復華中小精選基金,18488279
華頓中小型基金,80892778
第一金店頭市場基金,20092528
兆豐國際人民幣貨幣市場基金,38522710
統一全天候基金,01031699
瀚亞亞太豐收平衡基金A-美元,38621330C
摩根新興活利債券基金-月配息型,26297196B
群益東協成長基金,26285038
聯博亞太地產基金-A類型,48719071A
復華大中華中小策略基金,26276235
野村多元資產動態平衡基金-累積類型新臺幣計價,38653661A
中國信託精穩基金,18038078
惠理康和兩岸價值基金,31923248
凱基台灣精五門基金,25612029
摩根新興35基金,48768614
台新印度基金,26322646
宏利全球入息動態組合基金-B類型(美元),38530129D
德盛安聯目標收益基金-A類型(累積)-人民幣,38647774E
匯豐中國A股匯聚基金(美元),38482745C
聯博收益傘型基金之聯博多元資產收益組合基金-AD類型(南非幣),38522113H
群益創新科技基金,19339782
元大寶來中國平衡基金-新台幣,31830473A
統一中小基金,97977878
瀚亞亞太基礎建設基金,48885958
國泰中國內需增長基金美元I級別,26317735C
匯豐龍鳳基金,01031298
富邦台灣科技指數基金,48790067
統一奔騰基金,73990253
宏利東方明珠短期收益基金(美元),31893103A
宏利美元高收益債券基金-A類型(美元),42267986E
柏瑞旗艦全球債券組合基金-B類型,21709584B
