基金名稱,基金英文名稱,基金種類,基金投資區域,基金規模,基金幣別,基金總代理名稱,境外基金機構
施羅德環球基金系列-亞洲優勢C類股份-累積單位(歐元),SchroderISFAsianOpportunitiesEURCLASSC-ACCUMULATION,股票型-一般型,區域-亞洲太平洋(不含日本),142.818444,歐元,施羅德證券投資信託股份有限公司,施羅德投資管理(香港)有限公司-SCHRODERINVESTMENTMANAGEMENT(HONGKONG)LIMITED
摩根基金-摩根亞太入息基金(澳幣對沖)-A股(利率入息),JPMorganFunds-JPMorganAsiaPacificIncomeFundA(irc)-AUDhedged,平衡型(混合型)-平衡型(混合型),區域-亞洲太平洋(不含日本),206.021394,澳幣,摩根證券投資信託股份有限公司,摩根資產管理(歐洲)有限公司-JPMORGANASSETMANAGEMENT(EUROPE)S.A.R.L.
摩根基金-摩根亞太入息基金(美元)-A股(每月派息),JPMorganFunds-JPMorganAsiaPacificIncomeFundA(mth)-USD,平衡型(混合型)-平衡型(混合型),區域-亞洲太平洋(不含日本),1273.924875,美元,摩根證券投資信託股份有限公司,摩根資產管理(歐洲)有限公司-JPMORGANASSETMANAGEMENT(EUROPE)S.A.R.L.
柏瑞環球基金-柏瑞策略債券基金A,PineBridgeGlobalFunds-PineBridgeStrategicBondFundClassA,固定收益型-複合債,全球-混合,3.709678,美元,柏瑞證券投資信託股份有限公司,柏瑞投資愛爾蘭有限公司-PINEBRIDGEINVESTMENTSIRELANDLIMITED
柏瑞環球基金-柏瑞策略債券基金AD,PineBridgeGlobalFunds-PineBridgeStrategicBondFundClassAD,固定收益型-複合債,全球-混合,5.295506,美元,柏瑞證券投資信託股份有限公司,柏瑞投資愛爾蘭有限公司-PINEBRIDGEINVESTMENTSIRELANDLIMITED
柏瑞環球基金-柏瑞策略債券基金YD,PineBridgeGlobalFunds-PineBridgeStrategicBondFundClassYD,固定收益型-複合債,全球-混合,9.323935,美元,柏瑞證券投資信託股份有限公司,柏瑞投資愛爾蘭有限公司-PINEBRIDGEINVESTMENTSIRELANDLIMITED
瀚亞投資─亞洲債券基金C(美元),EastspringInvestments-AsianBondFundC-USD,固定收益型-一般型(未設定條件),區域-亞洲太平洋(不含日本),148.127114,美元,瀚亞證券投資信託股份有限公司,瀚亞投資(盧森堡)股份有限公司-EASTSPRINGINVESTMENTS(LUXEMBOURG)S.A.
柏瑞環球基金-柏瑞亞洲(日本除外)股票基金A,PineBridgeGlobalFunds-PineBridgeAsiaExJapanEquityFundClassA,股票型-一般型,區域-亞洲太平洋(不含日本),14.912339,美元,柏瑞證券投資信託股份有限公司,柏瑞投資愛爾蘭有限公司-PINEBRIDGEINVESTMENTSIRELANDLIMITED
柏瑞環球基金-柏瑞亞洲(日本除外)股票基金Y,PineBridgeGlobalFunds-PineBridgeAsiaExJapanEquityFundClassY,股票型-一般型,區域-亞洲太平洋(不含日本),150.866923,美元,柏瑞證券投資信託股份有限公司,柏瑞投資愛爾蘭有限公司-PINEBRIDGEINVESTMENTSIRELANDLIMITED
摩根東協基金(澳幣對沖)－A股(累計),JPMorganASEANFundA(acc)-AUDhedged,股票型-一般型,區域-亞洲太平洋(不含日本),13.324409,澳幣,摩根證券投資信託股份有限公司,摩根基金(亞洲)有限公司-JPMORGANFUNDS(ASIA)LIMITED
施羅德環球基金系列-美國中小型股票C類股份-累積單位(歐元),SchroderISFUSSmall&Mid-CapEquityEURCLASSC-ACCUMULATION,股票型-中小型,單一國家-美國,44.781058,歐元,施羅德證券投資信託股份有限公司,施羅德投資管理(香港)有限公司-SCHRODERINVESTMENTMANAGEMENT(HONGKONG)LIMITED
施羅德環球基金系列-美國中小型股票(歐元)A1類股份-累積單位,SISF-USSMALL&MIDCAPEQUITYEURCLASSA1-ACCUMULATION,股票型-中小型,單一國家-美國,36.320235,歐元,施羅德證券投資信託股份有限公司,施羅德投資管理(香港)有限公司-SCHRODERINVESTMENTMANAGEMENT(HONGKONG)LIMITED
施羅德環球基金系列-美國大型股C類股份-累積單位(歐元),SchroderISFUSLargeCapEURCLASSC-ACCUMULATION,股票型-一般型,單一國家-美國,193.365985,歐元,施羅德證券投資信託股份有限公司,施羅德投資管理(香港)有限公司-SCHRODERINVESTMENTMANAGEMENT(HONGKONG)LIMITED
瀚亞投資-北美價值股票基金A(美元),EastspringInvestments-NorthAmericanValueFundA-USD,股票型-一般型,區域-北美,.64304,美元,瀚亞證券投資信託股份有限公司,瀚亞投資(盧森堡)股份有限公司-EASTSPRINGINVESTMENTS(LUXEMBOURG)S.A.
安盛羅森堡Alpha基金-安盛羅森堡環球大型企業Alpha基金B,AXARosenbergEquityAlphaTrust-AXARosenbergGlobalEquityAlphaFundB,股票型-一般型,全球-已開發市場,30.135235,美元,國泰證券投資顧問股份有限公司,愛爾蘭安盛羅森堡有限公司-AXAROSENBERGMANAGEMENTIRELANDLIMITED
安盛羅森堡Alpha基金-安盛羅森堡環球小型企業Alpha基金B,AXARosenbergEquityAlphaTrust-AXARosenbergGlobalSmallCapAlphaFundB,股票型-中小型,全球-混合,15.784714,美元,國泰證券投資顧問股份有限公司,愛爾蘭安盛羅森堡有限公司-AXAROSENBERGMANAGEMENTIRELANDLIMITED
安盛羅森堡Alpha基金-安盛羅森堡日本大型企業Alpha基金B,AXARosenbergEquityAlphaTrust-AXARosenbergJapanEquityAlphaFundB,股票型-一般型,單一國家-日本,3528.535052,日幣,國泰證券投資顧問股份有限公司,愛爾蘭安盛羅森堡有限公司-AXAROSENBERGMANAGEMENTIRELANDLIMITED
安盛羅森堡Alpha基金-安盛羅森堡日本小型企業Alpha基金B,AXARosenbergEquityAlphaTrust-AXARosenbergJapanSmallCapAlphaFundB,股票型-中小型,單一國家-日本,9696.179533,日幣,國泰證券投資顧問股份有限公司,愛爾蘭安盛羅森堡有限公司-AXAROSENBERGMANAGEMENTIRELANDLIMITED
安盛羅森堡Alpha基金-安盛羅森堡泛歐大型企業Alpha基金B,AXARosenbergEquityAlphaTrust-AXARosenbergPan-EuropeanEquityAlphaFundB,股票型-一般型,區域-已開發歐洲,33.556352,歐元,國泰證券投資顧問股份有限公司,愛爾蘭安盛羅森堡有限公司-AXAROSENBERGMANAGEMENTIRELANDLIMITED
