類型代號	公司代號	公司名稱	基金統編	基金名稱	幣別	淨值	前一日淨值	漲跌
AE22	A0008	保德信投信	48688083	保德信全球債券組合基金	TWD	12.295	12.3239	-0.0289
AA2	A0008	保德信投信	48745042	保德信日本基金	TWD	7.27	7.22	0.05
AE23	A0008	保德信投信	48803942	保德信新興趨勢組合基金	TWD	9.56	9.61	-0.05
AE23	A0008	保德信投信	48844280	保德信歐洲組合基金	TWD	8.57	8.64	-0.07
AA2	A0008	保德信投信	48938250	保德信全球資源基金	TWD	7.59	7.55	0.04
AA2	A0008	保德信投信	48970455	保德信全球基礎建設基金	TWD	9.04	9.02	0.02
AA1	A0008	保德信投信	73990649	保德信科技島基金	TWD	16.46	16.39	0.07
AA2	A0008	保德信投信	73998065	保德信大中華基金	TWD	19.83	19.64	0.19
AA1	A0008	保德信投信	83866508	保德信中小型股基金	TWD	32.2	31.81	0.39
AA1	A0008	保德信投信	92013967	保德信金滿意基金	TWD	30.22	29.73	0.49
AA2	A0008	保德信投信	92029139	保德信亞太基金	TWD	17.33	17.26	0.07
AD1	A0008	保德信投信	97978047	保德信貨幣市場基金	TWD	15.4083	15.4081	0.0002
AA1	A0008	保德信投信	97988636	保德信店頭市場基金	TWD	26.36	26.18	0.18
AA2	A0008	保德信投信	98755451	保德信全球中小基金	TWD	20.73	20.65	0.08
AE21	A0008	保德信投信	99611329	保德信全球組合基金	TWD	13.01	12.94	0.07
AA1	A0009	統一投信	01031699	統一全天候基金	TWD	52.15	51.4	0.75
AA1	A0009	統一投信	17605622	統一大滿貫基金	TWD	20.23	19.97	0.26
AA2	A0009	統一投信	18030553	統一亞太基金	TWD	21.43	21.2	0.23
AA2	A0009	統一投信	25637393	統一大龍印基金	TWD	11.65	11.55	0.1
AA2	A0009	統一投信	26202889	統一大中華中小基金	TWD	9.21	9.24	-0.03
AA2	A0009	統一投信	26318517	統一新亞洲科技能源基金	TWD	9.71	9.71	0
AA2	A0009	統一投信	31841577	統一亞洲大金磚基金	TWD	10.59	10.53	0.06
AE22	A0009	統一投信	48783925	統一全球債券組合基金	TWD	11.0306	11.041	-0.0104
AA2	A0009	統一投信	48863201	統一強漢基金	TWD	14.85	14.76	0.09
AA1	A0009	統一投信	48934304	統一台灣動力基金	TWD	9.27	9.12	0.15
AA1	A0009	統一投信	73990253	統一奔騰基金	TWD	32.51	32.08	0.43
AA1	A0009	統一投信	77537493	統一統信基金	TWD	19.95	19.6	0.35
AA1	A0009	統一投信	81581724	統一經建基金	TWD	23.01	22.59	0.42
AA1	A0009	統一投信	92002244	統一黑馬基金	TWD	31.56	31.16	0.4
AA1	A0009	統一投信	92012762	統一龍馬基金	TWD	37.99	37.4	0.59
AD1	A0009	統一投信	92017176	統一強棒貨幣市場基金	TWD	16.2857	16.2854	0.0003
AA1	A0009	統一投信	97977878	統一中小基金	TWD	13.4	13.2	0.2
AA1	A0010	富邦投信	00974018	富邦富邦基金	TWD	8.83	8.69	0.14
AA1	A0010	富邦投信	10388939A	富邦台灣企業社會責任基金-A類型	TWD	12.61	12.46	0.15
AA1	A0010	富邦投信	10388939B	富邦台灣企業社會責任基金-B類型	TWD	10.42	10.3	0.12
AA1	A0010	富邦投信	17148301	富邦台灣心基金	TWD	13.73	13.5	0.23
AA1	A0010	富邦投信	17153795	富邦價值基金	TWD	15.26	15.08	0.18
AA1	A0010	富邦投信	20089755	富邦精銳中小基金	TWD	9.47	9.37	0.1
AE22	A0010	富邦投信	26202038	富邦丰益債券組合基金	TWD	9.5092	9.5503	-0.0411
AC21	A0010	富邦投信	26275812A	富邦全球投資等級債券基金-A類型	TWD	10.3722	10.4904	-0.1182
AC21	A0010	富邦投信	26275812B	富邦全球投資等級債券基金-B類型	TWD	9.7956	9.9071	-0.1115
AA2	A0010	富邦投信	26302085	富邦農糧精選基金	TWD	9.73	9.73	0
AA2	A0010	富邦投信	26321920	富邦新興亞洲高成長基金	TWD	9.44	9.43	0.01
AH2	A0010	富邦投信	26334740	富邦上証180基金	TWD	18.52	18.48	0.04
AC23	A0010	富邦投信	31826230A	富邦策略高收益債券基金-A類型	TWD	10.7654	10.8183	-0.0529
AC23	A0010	富邦投信	31826230B	富邦策略高收益債券基金-B類型	TWD	10.3345	10.3853	-0.0508
AH1	A0010	富邦投信	31840182	富邦台灣釆吉50基金	TWD	31.89	31.36	0.53
AC21	A0010	富邦投信	31946404A	富邦中國債券傘型基金之富邦中國優質債券人民幣計價基金-A類型	CNY	10.0041	10.0027	0.0014
